x Normal 1 ,y Normal 1 ,z Normal 1 ,i Normal 1 , x Normal 2,y Normal 2,z Normal 2 ,i Normal 2, x Normal 3,y Normal 3,z Normal 3 ,i Normal 3
9,-32,28,0,-8,9,26,250,0,3,21,0
2,-6,40,0,-1,-16,32,193,-4,2,35,0
3,-16,19,0,5,-11,24,115,3,-27,24,0
11,-29,24,0,-4,-8,35,40,3,0,18,0
-5,8,35,0,9,-17,21,0,-4,9,38,0
-2,-11,19,0,-6,-1,37,0,9,-33,28,0
7,-18,40,0,11,-27,19,0,5,-9,27,0
-4,-2,20,0,-7,2,34,0,-2,-9,42,0
8,-30,14,0,4,-28,26,0,8,-32,17,0
-2,8,44,2,5,-2,17,0,-4,8,20,0
-6,5,13,68,-7,9,42,0,-4,-1,38,63
11,-36,28,116,11,-38,29,0,7,-26,19,108
-7,10,35,168,7,-14,27,0,-6,3,37,159
2,-24,19,249,-2,-12,34,0,4,-26,24,232
6,-10,40,319,9,-21,16,0,2,-7,30,302
-2,-12,16,360,-1,8,39,0,1,-18,47,353
10,-26,45,369,4,-31,40,0,10,-37,10,365
-4,4,10,377,10,-28,13,0,-4,9,46,376
10,-38,46,369,-7,10,47,0,9,-40,15,375
-6,17,32,366,9,-39,29,0,-4,8,36,367
9,-43,20,331,3,-3,27,0,6,-30,26,355
2,-8,41,258,-1,-14,48,48,0,2,8,295
1,-9,14,193,8,-41,11,103,-7,16,48,218
3,-22,43,118,-6,17,43,152,11,-45,8,156
-3,7,21,43,7,-42,41,213,-8,24,50,77
7,-39,33,0,7,-26,13,288,9,-44,11,14
-5,11,27,0,-5,6,48,345,-8,25,11,0
7,-30,12,0,8,-33,9,362,-3,5,51,0
-4,-2,46,0,-8,12,32,377,7,-34,3,0
-7,15,32,0,3,-28,30,376,-7,16,33,0
8,-38,23,0,0,-4,22,368,9,-38,31,0
0,-9,42,0,-1,-11,41,360,-5,10,3,0
1,-9,18,0,4,-17,11,303,-8,30,52,0
8,-34,16,0,-7,8,49,219,11,-55,10,0
-6,8,43,0,7,-36,6,85,-12,30,13,0
-2,3,31,0,-9,25,28,20,0,0,47,0
5,-25,20,0,2,-22,3,0,4,-30,22,0
-5,2,39,0,-3,1,18,0,-7,23,30,0
3,-14,1,0,4,165,43,0,6,-30,48,0
-3,-9,40,0,-1,-9,9,0,6,-43,8,0
-10,19,43,0,2,-19,45,0,-8,28,18,0
5,0,14,18,-10,30,54,0,2,-9,42,0
7,-34,35,85,9,-47,2,0,-3,-16,12,0
1,-19,25,127,6,-37,55,0,0,10,39,55
-5,9,28,171,-6,24,29,0,7,-37,23,111
6,-32,35,245,10,-49,23,0,-9,13,7,153
-8,9,8,317,-7,6,51,0,-5,18,51,220
6,-23,46,360,4,-18,9,0,7,-40,10,301
-3,0,12,374,10,-51,13,0,-6,22,44,352
-9,27,42,376,-9,33,45,0,9,-39,39,367
10,-46,20,372,0,2,17,0,-3,-11,17,377
-10,24,31,365,2,-25,34,0,3,-5,40,377
10,-41,28,319,-10,22,25,0,2,-19,15,370
-8,20,24,248,8,-33,8,54,-2,4,40,357
8,-30,45,177,-7,12,46,110,6,-23,15,298
-8,6,14,106,-6,22,34,151,-7,8,26,221
6,-16,39,30,8,-38,19,218,8,-24,30,159
9,-37,21,0,-3,-3,38,292,-5,4,26,77
-8,20,34,0,2,-11,19,346,5,-18,30,7
8,-35,25,0,1,-17,36,365,-2,-1,25,0
-8,12,21,0,1,-2,24,376,0,-15,37,0
11,-31,31,0,12,-32,32,372,11,-35,20,0
-6,5,26,0,-7,6,28,367,-7,11,37,0
-2,4,32,0,9,-30,29,349,10,-34,35,0
9,-25,40,0,-3,1,37,280,7,-18,21,0
-4,-1,17,0,6,-21,20,205,0,-3,35,0
8,-24,27,0,12,-28,36,144,-5,-25,22,0
11,-30,30,0,-8,7,19,62,10,5,35,0
-6,5,0,0,12,-31,40,1,-1,-29,38,0
3,-16,37,0,-7,10,17,0,4,-29,18,0
4,-10,19,0,12,-32,39,0,10,9,39,0
-1,-1,18,0,-5,10,23,0,-5,-33,29,0
1,24,41,0,6,-34,19,0,9,-8,27,0
10,-29,15,37,-1,5,41,0,6,-10,40,0
-5,7,38,218,-7,0,27,0,-2,-33,17,0
-5,-5,25,238,14,-32,29,0,7,9,22,60
9,-21,12,258,3,0,40,0,-3,0,39,105
-5,1,25,297,1,-23,18,0,-4,-27,19,152
4,-33,48,350,11,-38,27,0,8,2,36,224
0,3,48,366,-5,9,35,0,2,-26,24,300
-7,17,13,374,-2,-13,20,0,3,-8,14,354
0,-13,36,372,9,-20,37,0,2,9,45,366
10,-47,27,368,-6,1,23,0,-4,-38,11,377
10,-47,12,349,5,-32,12,0,10,10,46,375
-8,14,32,279,-2,4,48,0,-3,-39,15,367
5,-44,5,214,-7,9,30,2,8,8,12,358
2,14,43,137,10,-38,26,68,-3,5,48,300
-6,16,11,68,2,-1,35,115,-3,-36,9,226
9,-52,43,0,-1,-15,13,169,8,17,49,163
-16,12,44,0,4,-12,42,234,-7,-45,7,87
3,-47,12,0,-8,17,16,307,9,24,14,21
-8,23,47,0,9,-41,16,351,-8,-4,45,0
8,-41,28,0,-5,14,46,365,0,-21,12,0
6,-32,29,0,-7,6,11,378,3,4,49,0
-6,11,46,0,9,-33,47,370,-4,-33,16,0
8,-40,14,0,-8,12,11,367,5,17,35,0
-4,0,41,0,9,-40,45,266,-9,-39,56,0
4,-16,37,0,-8,19,40,195,9,-45,4,0
8,-39,17,0,8,-39,11,134,10,28,51,0
-7,14,33,0,4,-18,49,53,-8,-53,14,0
8,-35,30,0,-6,8,4,0,10,-8,42,0
0,-21,13,0,7,-35,54,0,-2,0,20,0
-2,5,42,0,341,25,5,0,37,-4,31,0
7,-24,12,0,-10,-45,21,0,1,-49,45,0
-7,2,16,0,8,32,41,0,9,24,8,0
7,14,41,3,-9,-12,11,0,-7,-32,20,0
7,-35,17,68,0,-14,46,0,6,-42,41,0
-9,20,35,120,2,4,16,0,4,28,12,63
1,-1,42,164,-5,-50,3,0,-6,-10,39,115
0,-17,11,234,9,29,54,0,1,-15,22,160
-9,20,50,313,-9,21,25,0,-2,9,7,228
8,-35,7,354,-6,-46,25,0,-1,-37,50,308
5,-30,48,369,9,13,35,0,6,12,10,356
-6,16,10,378,-9,-25,8,0,-8,18,44,368
8,-40,18,375,3,-3,17,0,-5,-41,40,378
-9,24,41,373,0,35,43,0,6,23,16,376
10,-47,11,339,-9,-3,15,0,-7,-39,42,369
-9,27,45,267,0,-22,37,10,9,-14,14,349
1,-4,11,204,2,26,24,84,-2,-2,41,283
2,-21,46,129,-11,-38,10,126,3,-22,14,209
-3,11,30,53,8,16,47,173,2,7,24,147
5,-33,24,0,-7,21,11,247,-3,-26,33,64
-7,20,34,0,-6,-38,21,313,6,10,24,0
7,-37,21,0,8,18,39,356,-6,-22,32,0
-6,1,37,0,-10,-14,20,367,8,1,25,0
5,-12,21,0,3,-15,38,377,-6,-15,36,0
-2,-11,35,0,1,-3,16,370,5,-4,23,0
1,-6,37,0,0,-21,32,366,-1,-13,35,0
11,-34,20,0,4,0,25,259,0,-33,21,0
-7,9,35,0,-3,-31,32,193,11,9,37,0
11,-30,24,0,9,3,27,121,-8,-32,24,0
7,-25,16,0,-3,-21,27,44,10,-19,32,0
-2,1,39,0,6,-2,3,0,8,0,38,0
8,-26,18,0,0,-18,19,0,37,-3,20,0
-2,-2,26,0,3,-30,40,0,-4,-27,30,0
-4,5,33,0,12,336,15,0,10,2,30,0
9,-28,18,0,9,11,40,0,0,-27,24,0
-5,5,42,0,-8,-32,21,0,3,-29,38,0
1,-14,40,20,11,10,18,0,10,9,20,0
3,-12,17,84,-6,-35,41,0,-5,-17,20,61
-6,7,42,126,7,6,16,0,0,-11,38,112
10,-31,23,173,-2,-2,31,0,6,-8,23,166
6,-15,32,252,-6,-32,29,0,-4,-32,34,243
-3,-5,31,321,12,6,18,0,7,9,42,315
10,-25,10,361,-8,-25,41,0,-4,2,15,360
-3,5,46,372,3,-9,35,0,-4,-30,45,368
5,-31,14,378,6,8,20,0,9,0,12,377
2,0,41,369,-5,-36,36,0,2,-24,45,375
-7,14,20,365,9,-18,24,0,1,-36,16,367
11,-45,32,322,8,0,14,12,11,11,37,350
-6,16,31,244,-5,-31,47,148,-5,-39,27,286
10,-43,21,174,6,4,28,164,10,10,7,214
-3,13,49,97,-2,8,25,187,-5,-39,49,152
5,-31,10,26,-7,-37,36,259,7,7,6,73
-2,0,45,0,10,-1,15,329,-2,-28,15,7
2,-16,19,0,1,-15,15,355,5,0,44,0
10,-46,33,0,0,-13,39,372,0,17,13,0
-9,25,27,0,5,17,39,377,-9,-45,47,0
9,-45,12,0,-9,7,47,367,9,24,16,0
-9,16,29,0,-6,-34,12,363,-8,-4,37,0
9,-36,32,0,6,-34,45,233,0,-20,56,0
-5,4,22,0,6,-35,11,171,4,3,5,0
-7,18,40,0,10,12,44,96,-4,-31,26,0
6,-19,20,0,-8,-41,18,21,7,16,9,0
-2,-11,34,0,8,19,33,0,-7,-38,41,0
3,-8,44,0,-7,-39,315,0,8,-41,20,0
10,-38,11,0,8,19,6,0,9,25,13,0
-6,12,22,0,-9,-36,53,0,-8,-28,44,0
7,-25,38,0,7,48,6,0,3,-6,32,0
3,-28,17,0,7,24,48,0,0,0,20,0
-7,15,44,0,-36,-43,9,0,37,27,46,0
6,-16,17,58,-10,30,13,0,-9,-47,13,54
-5,-5,14,113,9,-51,48,0,7,24,40,110
1,-4,43,158,-12,30,16,0,-8,16,47,149
7,-36,23,219,11,1,35,0,-7,-40,7,213
-11,20,33,298,-12,-28,24,0,5,3,29,288
-4,4,27,346,-4,28,6,0,-4,-10,34,339
5,-26,26,368,5,-42,50,0,1,-44,20,364
-9,14,34,376,-10,15,33,0,6,27,38,375
8,-31,20,374,8,27,17,0,-8,-38,16,376
-7,9,44,373,-7,-48,43,0,6,-32,39,369
7,-24,15,342,-9,0,15,57,3,19,20,356
-3,-4,36,272,11,-6,37,114,-5,-25,31,302
1,-9,23,208,0,-47,47,162,7,0,28,225
10,-44,30,135,0,26,11,234,-6,-10,26,159
-9,26,28,65,10,-39,30,308,4,-15,31,79
10,-39,28,0,-10,-31,29,354,0,0,15,5
-8,15,31,0,8,20,13,367,2,-37,41,0
7,-27,17,0,6,-27,43,376,9,14,20,0
-6,6,39,0,-6,2,18,369,-9,-27,35,0
5,-17,21,0,6,19,38,367,10,7,21,0
-1,-7,23,0,-3,-41,18,339,-7,-21,24,0
-8,17,37,0,-8,19,36,268,7,0,36,0
11,-38,20,0,12,-38,24,1,-6,15,24,0
-6,12,37,0,-8,10,17,128,-8,-30,33,0
0,-1,38,0,10,-34,38,49,11,12,0,0
8,-24,17,0,-7,6,17,0,-8,-32,20,0
-5,6,33,0,8,7,40,0,11,7,32,0
8,-31,26,0,-3,-30,17,0,-7,-7,27,0
9,-29,16,0,-5,8,43,0,-1,-19,20,0
-3,7,40,0,10,-32,13,0,8,7,35,0
5,-20,31,0,-8,12,43,0,-5,-29,32,0
2,-4,26,8,12,-33,37,0,8,-27,24,0
-7,7,35,65,-7,12,18,0,9,35,38,45
9,-31,12,115,11,-36,43,0,-5,2,20,104
4,-10,44,169,94,-19,23,0,4,-24,34,153
-1,0,18,238,-5,-3,33,0,4,-3,38,229
5,-10,13,316,7,-30,44,0,-5,8,17,295
-4,-14,49,356,10,6,14,0,9,-31,42,354
6,10,8,368,-5,-30,43,0,7,-13,15,366
-2,-37,48,376,12,-37,33,0,-3,-6,44,377
-3,8,11,372,1,10,20,0,10,-21,14,374
11,-1,45,368,5,-38,40,16,-3,7,21,368
-6,-33,41,340,12,-15,23,61,3,-29,42,350
11,10,12,264,-5,-2,32,110,10,-32,11,285
-5,-45,46,207,10,-27,35,169,-7,6,48,210
9,17,9,133,7,7,10,233,11,-38,8,145
7,-43,50,63,-4,-29,10,302,-6,12,49,65
-4,-23,35,0,9,-10,19,353,10,-40,7,0
9,8,18,0,-3,16,19,364,-4,9,16,0
-6,-38,45,0,3,16,42,377,-2,-3,43,0
8,19,10,0,4,-7,14,374,8,-31,14,0
0,-45,36,0,-11,-7,45,367,-4,11,46,0
0,-8,26,0,-11,-26,22,273,9,-38,18,0
3,-4,9,0,-1,7,23,196,-8,18,35,0
-3,-26,47,0,-1,-35,25,138,10,-45,0,0
9,8,32,0,7,8,22,56,-8,23,7,0
-6,-40,23,0,-4,-31,45,0,-1,-1,25,0
-5,9,42,0,11,-9,14,0,4,-23,35,0
9,20,17,0,-3,-8,3,0,-5,3,11,0
-2,-44,14,0,0,-40,22,0,7,-31,40,0
4,-8,46,0,-6,21,32,0,-7,11,22,0
7,-9,9,0,0,-38,30,0,7,-34,13,0
-7,-41,24,0,9,345,23,0,8,-39,43,0
-1,16,35,0,-11,17,48,0,-8,53,32,2
3,8,8,66,7,-29,9,0,4,21,20,67
-5,-30,46,116,6,7,48,0,0,-25,44,116
6,17,42,166,-8,-19,47,0,-9,-7,15,157
-7,-19,14,237,6,-49,7,0,7,22,40,228
0,-3,36,314,-6,30,39,0,-7,-42,46,305
-9,25,21,351,1,-49,22,0,-6,21,6,370
8,-38,35,370,11,-23,31,0,6,13,28,374
-1,-13,26,378,-11,10,50,0,-3,-36,34,377
-2,1,28,374,11,-46,8,0,0,2,19,375
10,-38,30,369,3,19,45,43,7,-10,39,367
-9,15,23,319,-6,-32,39,108,-8,-41,21,336
10,-33,45,246,10,-46,12,151,6,25,21,268
-8,13,14,177,-8,32,46,208,3,-37,12,196
8,-28,37,104,5,-47,19,289,-6,-32,31,129
-6,1,22,30,10,-12,34,346,6,20,12,50
4,-16,32,0,-11,6,45,366,-5,-25,24,0
10,-43,27,0,12,-27,13,377,4,0,32,0
-10,26,28,0,2,20,44,372,-1,-10,24,0
10,-40,30,0,-4,-31,16,367,-7,-16,32,0
-10,18,24,0,5,-37,20,355,-7,15,24,0
9,-31,39,0,-8,18,39,304,-3,15,35,0
-7,11,21,0,7,-41,19,226,10,12,22,0
5,-22,37,0,9,19,38,94,-8,-27,36,0
-3,-2,34,0,-9,-8,17,26,7,14,37,0
4,-14,23,0,12,-19,39,0,-5,-20,19,0
12,-38,37,0,-8,-1,27,0,6,0,34,0
-7,14,20,0,0,-26,28,0,-1,-12,24,0
10,-35,35,0,6,6,29,0,0,-7,19,0
5,-21,38,0,-2,-28,28,0,11,-11,38,0
-2,-3,17,0,9,1,172,0,-7,-32,18,0
8,-26,30,0,-5,-19,15,0,10,8,27,0
-2,5,30,0,11,-6,42,0,8,-31,31,12
4,-23,15,50,0,-14,17,0,-5,-19,20,85
8,-27,45,102,3,30,20,0,8,-2,38,123
-6,5,31,149,2,10,43,0,0,-30,38,185
3,-19,24,204,0,-36,14,0,-5,0,17,265
4,-7,39,282,5,7,35,0,11,1,40,329
-7,8,14,341,-9,-6,28,0,-6,3,25,364
9,-30,41,366,-6,-26,15,0,-1,-29,31,370
4,-10,20,374,8,2,28,0,6,9,29,376
-3,-14,33,374,-4,-32,34,0,-5,-16,16,373
8,-18,50,368,-4,-4,20,38,8,-13,42,366
-3,8,11,354,12,9,38,101,10,8,16,322
7,-38,48,288,-7,-20,21,148,-5,-32,40,255
0,9,14,225,4,-13,12,218,10,-20,18,182
5,-34,38,159,4,-3,48,288,2,4,33,114
11,-42,23,79,-6,-36,6,350,3,-32,29,36
-7,16,30,6,0,9,28,361,5,1,11,0
9,-45,32,0,7,9,34,375,-6,-23,47,0
-4,20,3,0,-5,-36,11,374,10,-12,9,0
7,-40,51,0,6,20,45,366,-3,13,48,0
-3,10,12,0,-4,-22,15,284,7,-41,16,0
4,-29,11,0,-7,-8,41,210,-2,11,14,0
-2,0,49,0,10,22,20,149,4,-37,46,0
-8,28,20,0,-8,-49,10,68,1,5,7,0
9,-52,34,0,1,23,48,0,-7,-25,35,0
-9,26,29,0,3,-41,9,0,8,-5,29,0
-2,2,11,0,-10,11,47,0,-9,18,8,0
5,-37,45,0,11,16,12,0,8,-44,47,0
-8,18,36,0,-7,-45,39,0,-6,22,36,0
7,-33,16,0,7,25,20,0,-4,-40,17,0
-4,0,38,0,-5,-43,4,0,6,17,38,0
-8,21,24,0,-8,24,55,0,-6,5,25,0
7,-45,26,0,8,-40,6,0,7,-32,26,0
-1,-17,49,0,-8,351,48,0,-3,11,41,32
1,6,7,57,8,19,8,0,-7,-30,13,170
8,-34,22,114,-10,22,16,0,9,6,18,188
9,11,40,161,8,-41,45,0,-1,18,43,208
6,-24,15,224,-9,27,11,0,-1,-42,14,265
4,-39,36,297,-7,-48,41,0,7,-8,38,331
-6,25,19,345,8,28,18,0,-6,-5,23,363
5,-10,37,365,-10,-6,6,0,3,-37,9,373
-3,-10,24,376,12,-19,51,30,5,15,17,377
0,-2,9,372,-11,30,30,99,-9,-25,17,374
9,-39,45,369,0,-45,21,133,-1,-35,46,364
-10,17,9,244,3,20,45,189,0,22,13,313
9,-34,47,229,-10,21,12,272,-5,-7,11,240
-8,14,12,199,10,-42,42,333,6,-16,48,175
-6,14,39,126,-9,8,19,363,-8,10,10,106
7,-40,45,54,-7,-14,11,375,-8,-36,43,26
-8,21,45,0,10,-47,45,375,2,12,12,0
11,-41,24,0,-3,28,26,366,2,28,44,0
-11,27,13,0,3,-42,26,356,9,-8,15,0
10,-42,41,0,11,24,35,303,-10,-8,21,0
6,-29,16,0,-11,15,15,232,0,-47,34,0
6,-29,25,0,11,-37,41,166,5,22,22,0
-9,15,35,0,-8,8,15,96,-5,4,36,0
-7,16,22,0,-4,-22,38,19,6,-28,24,0
8,-37,37,0,8,-7,22,0,-8,15,33,0
-7,16,19,0,-5,22,34,0,10,-33,35,0
6,-18,24,0,6,-41,25,0,-9,17,20,0
0,-10,36,0,0,14,29,0,3,-34,33,0
1,-9,19,0,-8,-37,41,0,0,18,26,0
11,-37,35,0,12,9,16,0,-1,-9,18,0
-6,10,24,0,-8,-27,42,0,6,-11,39,0
1,-4,20,0,11,1,15,0,-7,-7,19,0
7,-23,32,1,-6,-19,42,0,9,-17,29,26
-3,6,27,62,8,-30,18,0,9,6,33,94
6,-24,15,109,-2,9,21,0,-5,-29,19,132
0,0,44,158,5,-30,40,0,8,0,39,197
-5,0,29,220,11,8,21,0,1,-22,42,278
5,4,28,297,-8,-34,36,0,-7,0,16,338
2,-19,35,341,11,6,44,0,10,-27,42,365
-7,-5,14,365,-6,-8,15,0,-5,0,25,374
9,6,42,374,11,-23,42,0,-2,4,30,377
4,-27,20,373,-5,7,33,64,7,-29,31,373
-2,-8,35,367,-4,-32,19,115,-5,9,14,364
8,-16,28,348,11,-32,37,170,7,-14,45,310
-4,-15,11,279,-1,7,21,244,10,-14,14,244
8,5,47,214,7,-36,34,312,-5,10,41,171
-1,-35,16,147,12,-12,48,358,11,-33,18,102
6,8,38,69,-7,-6,8,365,3,-22,35,18
1,-34,23,0,11,-36,28,378,1,5,48,0
-7,0,32,0,6,9,35,373,6,-34,22,0
11,12,53,0,-6,-32,10,365,-6,1,49,0
-5,-41,4,0,8,-34,45,327,10,-26,8,0
8,19,51,0,-4,19,16,246,-3,-11,48,0
-6,-40,8,0,5,-24,41,108,6,17,15,0
6,11,12,0,10,-6,21,27,0,-45,39,0
9,-30,48,0,-9,22,33,0,3,13,44,0
-8,-43,18,0,2,-50,28,0,9,-40,10,0
9,28,37,0,3,24,10,0,0,8,0,0
-11,-52,26,0,-11,-44,46,0,9,-26,27,0
0,27,7,0,12,14,13,0,-7,-40,9,0
6,-3,26,0,-8,-32,40,0,8,-14,46,0
-8,-31,36,0,8,-1,17,0,-6,-46,15,0
9,24,16,0,-5,26,173,0,7,23,19,0
-6,-40,40,0,5,-45,28,0,7,-40,41,0
-7,7,20,0,0,25,25,0,-7,16,25,46
6,23,7,0,-9,-42,35,0,5,-36,26,110
-2,-20,52,69,10,22,9,0,-3,-32,41,149
0,-11,28,120,-11,-3,48,0,-7,10,14,212
8,3,24,174,8,35,41,0,9,-28,43,292
-9,-39,50,242,-10,10,11,0,-8,36,42,344
-2,16,11,314,6,-22,46,0,0,3,13,366
3,16,41,350,2,-4,17,0,4,15,38,376
-9,-38,18,367,-6,28,35,65,-6,-40,22,376
5,8,39,367,2,-48,48,117,3,16,29,369
7,-16,21,369,-1,-14,9,160,6,-6,53,349
-10,-40,11,366,-12,2,45,229,-8,-20,7,283
11,23,45,314,11,-31,35,305,7,13,47,211
-10,-40,13,240,4,22,16,354,1,-24,11,139
10,20,12,175,-4,-36,45,367,-4,-33,41,63
-9,-37,39,101,6,-39,17,377,5,21,19,0
-5,17,39,30,-9,27,38,369,-6,-37,30,0
7,9,21,0,5,-45,23,367,6,-15,30,0
-10,-35,39,0,10,-6,11,346,8,8,12,0
8,24,27,0,-10,-2,47,290,-9,-36,43,0
10,-8,16,0,9,-44,32,221,10,12,15,0
10,-41,40,0,0,26,24,159,-9,-24,39,0
-13,-41,0,0,-3,-38,33,87,9,-43,22,0
7,23,28,0,11,13,22,9,-9,28,33,0
-5,-40,31,0,-7,17,39,0,10,-46,36,0
-4,22,18,0,5,-42,19,0,-7,24,20,0
9,11,40,0,-5,-2,35,0,-7,-40,37,0
-7,-32,17,0,-8,-13,22,0,9,17,25,0
4,4,26,0,13,-16,31,0,-9,-28,31,0
0,-23,32,0,0,-5,27,0,10,4,37,0
-6,-3,18,0,1,-23,16,0,-8,19,19,0
11,15,37,0,3,5,42,0,11,-36,29,0
-7,-38,35,0,0,-28,16,0,4,19,29,10
0,11,19,0,8,3,43,0,-3,-33,20,78
6,-9,40,29,-5,-21,33,0,9,11,35,122
-3,-19,24,89,6,-3,21,0,-4,-30,21,181
6,8,34,138,-2,9,39,0,7,-21,20,265
8,-28,44,274,6,-30,18,0,10,-1,41,328
-5,-23,14,337,1,7,38,0,-6,-23,22,365
8,2,31,361,-7,-33,46,0,3,2,35,374
