x Normal 1,y Normal 1,z Normal 1,i Normal 1,SEP, x Normal 4, y Normal 4, z Normal 4, i Normal 4
-6,5,29,45,0,-5,-5,22,0
-8,21,9,105,0,10,-22,40,0
9,-44,49,147,0,-4,7,22,0
-9,27,10,209,0,3,-28,34,0
11,-45,44,293,0,3,-1,26,0
-10,22,15,346,0,-9,8,16,50
9,-38,38,366,0,11,-39,43,108
-7,15,23,376,0,-6,13,16,157
-6,21,9,376,0,-1,-9,24,229
8,-38,45,373,0,8,-24,37,300
-9,21,11,349,0,-4,1,19,351
10,-38,42,278,0,10,-34,42,3
-8,20,16,207,0,66,,,
10,-33,39,134,0,-5,14,12,377
-9,11,20,60,0,9,-39,47,373
-3,-1,19,0,0,-10,19,10,367
7,-25,39,0,0,10,-45,46,338
-4,3,19,0,0,-9,23,10,265
8,-25,32,0,0,-3,3,14,195
-3,0,26,0,0,5,-26,44,126
-6,3,17,0,0,-7,6,13,48
9,-32,39,0,0,8,-33,45,0
2,-6,27,0,0,-5,7,22,0
3,-16,28,0,0,5,-28,34,0
11,-29,40,0,0,9,-38,51,0
-5,8,19,0,0,-8,18,9,0
-2,,,,0,1,-21,24,0
,-11,24,0,0,0,-10,37,0
7,-18,35,0,0,-1,-4,17,0
-4,-2,19,0,0,7,-36,38,0
8,-30,40,0,0,-6,15,25,0
-2,8,20,0,0,-8,13,14,0
-6,5,14,0,0,8,-36,41,0
11,-36,44,2,0,-2,-2,34,0
-7,10,13,68,0,-2,-6,17,0
2,-24,28,116,0,1,-16,42,0
6,-10,35,168,0,-8,24,16,0
-2,-12,19,249,0,6,-37,37,0
10,-26,40,319,0,5,-33,46,22
-4,4,16,360,0,-7,21,7,91
10,-38,45,369,0,9,-44,51,130
-6,17,10,377,0,-10,28,8,184
9,-43,46,369,0,2,-10,18,262
2,-8,32,366,0,1,-18,41,327
1,-9,20,331,0,0,3,15,363
3,-22,41,258,0,4,-27,,
-3,7,14,193,0,45,373,,
7,-39,43,118,0,-5,15,11,378
-5,11,21,43,0,7,-34,45,375
7,-30,33,0,0,-7,5,29,368
-4,-2,27,0,0,6,-18,25,332
-7,15,12,0,0,-5,-2,32,259
8,-38,46,0,0,4,-11,22,186
0,-9,32,0,0,1,-10,34,118
1,-9,23,0,0,-2,-7,23,38
8,-34,42,0,,11,-32,34,0
-6,8,18,0,,-7,6,23,0
-2,3,16,0,,-3,-3,22,0
5,-25,43,0,,10,-22,39,0
-5,2,31,0,,-5,-2,19,0
3,-14,20,0,,6,-28,33,0
-3,-9,39,0,,1,-1,24,0
-10,19,1,,,-6,4,19,0
5,0,,,,11,-28,40,0
7,-34,40,0,,-6,8,19,0
1,-19,43,0,,-3,-14,26,0
-5,9,14,0,,7,-15,32,0
6,-32,35,18,,-5,8,20,0
-8,9,25,85,,7,-32,40,0
6,-23,28,127,,10,-22,41,0
-3,0,35,171,,-5,4,15,0
-9,27,8,245,,10,-34,42,0
10,-46,46,317,,2,0,26,29
-10,24,12,360,,2,-23,28,96
10,-41,42,374,,6,-10,32,133
-8,20,20,376,,-7,16,15,199
8,-30,31,372,,10,-44,43,280
-8,6,28,365,,-4,13,16,339
6,-16,24,319,,7,-39,40,365
9,-37,45,248,,,,,
-8,20,14,177,,,,,
8,-35,39,106,,0,6,19,374
-8,12,21,30,,2,-23,33,376
11,-31,34,0,,8,-42,47,373
-6,5,25,0,,-7,20,9,365
-2,4,21,0,,9,-45,48,313
9,-25,31,0,,-9,23,9,246
-4,-1,26,0,,8,-39,46,172
8,-24,32,0,,-6,14,18,103
11,-30,40,0,,-6,8,15,24
-6,5,17,0,,8,-34,46,0
3,-16,27,0,,-7,11,10,0
4,-10,30,0,,5,-24,33,0
-1,-1,,,,-1,1,29,0
1,24,0,,,-7,15,10,0
10,-29,37,0,,9,-38,44,0
-5,7,19,0,,0,-12,35,0
-5,-5,18,0,,-2,-3,16,0
9,-21,41,0,,5,-21,42,0
-5,1,15,0,,-7,11,28,0
4,-33,38,0,,3,-21,24,0
0,3,25,37,,7,-34,41,0
-7,17,12,218,,-9,20,14,0
0,-13,25,238,,7,-37,41,0
10,-47,48,258,,1,-17,44,0
10,-47,48,297,,-4,8,13,0
-8,14,13,350,,7,-35,35,0
5,-44,36,366,,-7,12,23,52
2,14,27,374,,6,-25,29,112
-6,16,12,372,,9,-44,52,151
9,-52,32,368,,-10,29,7,220
-16,12,5,349,,12,-47,46,297
3,-47,43,279,,-11,24,12,350
-8,23,11,214,,10,-43,4,
8,-41,43,137,,0,368,,
6,-32,44,68,,-8,19,21,377
-6,11,12,0,,9,-28,31,373
8,-40,47,0,,-7,5,29,368
-4,0,28,0,,5,-17,24,339
4,-16,29,0,,10,-37,43,266
8,-39,46,0,,-8,19,15,192
-7,14,14,0,,10,-34,40,122
8,-35,41,0,,-9,12,20,41
0,-21,37,0,,11,-32,34,0
-2,5,17,0,,-6,6,24,0
7,-24,33,0,,-3,0,22,0
-7,2,30,0,,9,-24,37,0
-,,,,,-4,2,24,0
7,14,13,0,,7,-26,33,0
7,-35,42,0,,10,-29,38,0
-9,20,12,0,,-6,4,20,0
1,-1,16,0,,4,-20,31,0
0,-17,41,0,,5,-6,28,0
-9,20,17,0,,-3,-13,26,0
8,-35,35,3,,9,-31,37,0
5,-30,42,68,,-4,9,20,0
-6,16,11,120,,-4,-5,22,0
8,-40,50,164,,11,-22,41,0
-9,24,7,234,,-6,4,14,0
10,-47,48,313,,2,-33,36,0
-9,27,10,354,,3,3,25,10
1,-4,18,369,,-8,9,13,76
2,-21,41,378,,12,-43,47,122
-3,11,11,375,,-7,17,13,180
5,-33,45,373,,11,-47,43,262
-7,20,11,339,,-3,16,15,326
7,-37,46,267,,-4,2,18,363
-6,1,30,204,,9,,,
5,-12,24,129,,-36,43,368,
-2,-11,34,53,,-5,16,11,377
1,-6,21,0,,9,-41,46,372
11,-34,37,0,,-8,21,11,366
-7,9,21,0,,9,-46,47,321
11,-30,35,0,,2,-17,38,248
7,-25,37,0,,-3,3,15,181
-2,1,20,0,,6,-28,43,110
8,-26,35,0,,-7,8,13,32
-2,-2,24,0,,8,-36,44,0
-4,5,16,0,,-4,3,22,0
9,-28,39,0,,5,-22,33,0
-5,5,18,0,,8,-36,47,0
,,,,,-7,14,11,0
1,-14,26,0,,1,-16,25,0
3,-12,33,0,,0,-14,35,0
-6,7,18,0,,-1,-2,17,0
10,-31,42,0,,6,-29,36,0
6,-15,40,0,,-5,9,27,0
-3,-5,17,0,,-7,12,14,0
10,-25,42,20,,7,-34,42,0
-3,5,23,84,,-3,-4,34,0
5,-31,32,126,,-1,-5,16,0
2,0,31,173,,1,-16,42,0
-7,14,10,252,,-7,22,16,0
11,-45,46,321,,6,-36,37,0
-6,16,14,361,,5,-32,44,42
10,-43,41,372,,-7,17,8,103
-3,13,20,378,,9,-42,52,144
5,-31,32,369,,-9,28,7,200
-2,0,31,365,,4,-13,21,279
2,-16,21,322,,-2,-16,38,339
10,-46,49,244,,1,1,14,365
-9,25,10,174,,4,-27,47,375
9,-45,45,97,,-5,15,10,376
-9,16,19,26,,6,-,,
9,-36,33,0,,36,45,374,
-5,4,27,0,,-8,5,28,363
-7,18,12,0,,7,-17,24,309
6,-19,29,0,,-5,-4,35,238
-2,-11,32,0,,3,-6,21,171
3,-8,22,0,,0,-15,36,103
10,-38,40,0,,0,-3,20,28
-6,12,20,0,,12,-30,34,0
7,-25,34,0,,-7,5,25,0
3,-28,44,0,,-3,1,19,0
-7,,,,,8,-26,38,0
,15,11,0,,-4,0,25,0
6,-16,22,0,,8,-24,32,0
-5,-5,38,0,,11,-30,39,0
1,-4,17,0,,-6,5,18,0
7,-36,44,0,,11,-29,39,0
-11,20,17,0,,4,-8,30,0
-4,4,14,0,,-1,-12,23,0
5,-26,43,58,,11,-31,37,0
-9,14,23,113,,-6,8,20,0
8,-31,33,158,,8,-32,40,0
-7,9,27,219,,10,-21,41,0
7,-24,26,298,,-5,3,15,0
-3,-4,34,346,,4,-33,38,0
1,-9,20,368,,0,5,27,38
10,-44,44,376,,-8,8,13,97
-9,26,15,374,,13,-42,47,137
10,-39,36,373,,-7,18,13,205
-8,15,23,342,,12,-47,44,288
7,-27,30,272,,-5,16,16,343
-6,6,28,208,,7,-42,38,
5,-17,28,135,,367,,,
-1,-7,31,65,,-1,9,20,375
-8,17,17,0,,-6,16,12,375
11,-38,39,0,,10,-43,45,370
-6,12,21,0,,-8,21,10,355
0,-1,23,0,,10,-48,48,282
8,-24,37,0,,-8,24,10,213
-5,6,20,0,,9,-41,45,140
8,-31,37,0,,-6,14,19,68
9,-29,38,0,,6,-33,34,0
-3,7,17,0,,9,-38,45,0
5,-20,33,0,,-8,16,12,0
2,-4,26,0,,3,-19,32,0
-7,7,16,0,,0,-7,30,0
9,-31,40,0,,-8,14,13,0
4,-10,31,,,9,-36,41,0
,0,,,,-7,11,18,0
-1,-10,26,0,,-4,1,18,0
5,-14,35,0,,6,-25,42,0
-4,10,12,0,,-6,7,29,0
6,-37,44,8,,3,-18,22,0
-2,8,18,65,,8,-35,42,0
-3,-1,13,115,,-10,21,12,0
11,-33,49,169,,8,-37,42,0
-6,10,8,238,,3,-17,42,0
11,-45,48,316,,-6,7,15,0
-5,17,11,356,,8,-38,37,10
9,-43,45,368,,-7,14,22,81
7,-23,41,376,,6,-28,32,126
-4,8,12,372,,-5,5,31,168
9,-38,46,368,,-10,28,6,243
-6,19,9,340,,13,-49,48,316
8,-45,50,264,,-11,28,11,358
0,-8,35,207,,1,,,
0,-4,18,133,,0,-45,44,370
3,-26,45,63,,-9,24,15,375
-3,8,10,0,,9,-34,34,369
9,-40,36,0,,-7,9,26,364
-6,9,26,0,,5,-20,26,319
-5,20,9,0,,9,-38,45,248
9,-44,47,0,,-8,22,12,178
-2,-8,32,0,,10,-37,42,104
4,-9,23,0,,-8,14,19,27
7,-41,42,0,,11,-34,35,0
-7,16,17,0,,-6,7,24,0
-1,8,14,0,,-3,2,20,0
3,-30,46,0,,8,-25,39,0
-5,17,9,0,,-4,1,24,0
6,-19,24,0,,7,-25,34,0
-7,-3,35,,,9,-30,39,0
0,,,,,-5,5,18,0
-9,25,8,0,,4,-17,31,0
8,-38,46,0,,4,-8,29,0
-1,-13,42,0,,-7,6,18,0
-2,1,14,0,,10,-29,37,0
10,-38,36,66,,5,-15,35,0
-9,15,21,116,,-3,-6,20,0
10,-33,35,166,,8,-19,41,0
-8,13,26,237,,-3,9,16,0
8,-28,28,314,,5,-34,38,0
-6,1,30,351,,11,-30,43,37
4,-16,23,370,,-7,6,13,96
10,-43,45,378,,13,-40,47,137
-10,26,14,374,,-7,17,12,202
10,-40,37,369,,12,-47,44,286
-10,18,22,319,,-5,16,15,341
9,-31,32,246,,-4,-1,15,366
-7,11,27,177,,11,-34,44,375
5,-22,28,104,,-7,16,12,37
-3,-2,30,30,,4,,,
4,-14,24,0,,10,-43,45,369
12,-38,39,0,,-8,21,12,350
-7,14,21,0,,10,-46,46,271
10,-35,37,0,,-9,24,12,206
5,-21,34,0,,8,-41,43,130
-2,-3,23,0,,-7,12,21,61
8,-26,37,0,,-7,11,12,0
-2,5,20,0,,9,-40,46,0
4,-23,35,0,,-8,18,12,0
8,-27,38,0,,4,-16,28,0
-6,5,17,0,,0,-11,32,0
3,-19,30,0,,-9,13,14,0
4,-7,30,0,,9,-35,41,0
,,,,,-6,10,19,0
-7,8,15,0,,-3,6,17,0
9,-30,45,0,,6,-27,44,0
4,-10,31,0,,-6,3,30,0
-3,-14,24,0,,4,-15,21,0
8,-18,39,50,,8,-37,43,0
-3,8,14,102,,-10,22,13,0
7,-38,41,149,,7,-37,41,0
0,9,20,204,,1,-17,43,0
5,-34,33,282,,-5,7,13,0
11,-42,50,341,,8,-35,33,25
-7,16,11,366,,-8,13,24,93
9,-45,48,374,,6,-29,32,135
-4,20,14,374,,-5,6,31,181
7,-40,38,368,,-10,26,7,258
-3,10,23,354,,12,-48,48,327
4,-29,30,288,,-10,27,10,36
-2,0,32,225,,4,,,
-8,28,3,159,,10,-46,43,374
9,-52,51,79,,-9,25,16,375
-9,26,12,6,,10,-36,34,370
-2,2,11,0,,-8,12,25,357
5,-37,49,0,,6,-23,28,295
-8,18,20,0,,-4,0,32,232
7,-33,34,0,,-8,23,13,162
-4,0,29,0,,10,-39,42,87
-8,21,11,0,,-9,16,18,9
7,-45,45,0,,12,-36,37,0
-1,-17,36,0,,-6,10,21,0
1,6,16,0,,-3,2,21,0
8,-34,38,0,,8,-26,38,0
-,,,,,-5,4,22,0
9,11,24,0,,7,-28,35,0
6,-24,26,0,,9,-32,40,0
4,-39,49,0,,-5,7,16,0
-6,25,7,0,,4,-19,32,0
5,-10,22,0,,4,-6,28,0
-3,-10,40,0,,-7,8,16,0
0,-2,15,0,,9,-32,40,0
9,-39,36,57,,6,-14,34,0
-10,17,19,114,,-3,-7,21,0
9,-34,37,161,,7,-17,40,0
-8,14,24,224,,-3,11,13,0
-6,14,9,297,,5,-38,41,0
7,-40,45,345,,11,-29,44,52
-8,21,9,365,,-6,6,11,105
11,-41,47,376,,11,-39,50,154
-11,27,12,372,,-8,16,9,217
10,-42,39,369,,12,-47,47,301
6,-29,45,244,,-4,18,16,350
6,-29,45,229,,8,-4,,
-9,15,24,199,,4,42,368,
-7,16,13,126,,8,-31,43,376
8,-37,41,54,,-6,14,11,373
-7,16,16,0,,9,-42,45,369
6,-18,25,0,,-8,22,10,348
0,-10,35,0,,9,-47,48,273
1,-9,22,0,,-8,25,8,212
11,-37,37,0,,-3,3,14,146
-6,10,19,0,,7,-33,47,75
1,-4,24,0,,-7,14,9,1
7,-23,36,0,,8,-32,30,0
-3,6,19,0,,-4,-1,28,0
6,-24,35,0,,4,-16,27,0
0,0,24,,,9,-42,46,0
,0,,,,-8,15,15,0
-5,4,20,0,,1,-4,20,0
5,-19,32,0,,2,-26,40,0
2,-5,27,0,,-7,9,20,0
-7,6,15,0,,7,-22,31,0
9,-27,44,0,,5,-32,46,0
4,-8,29,0,,-8,18,11,0
-2,-16,28,1,,6,-38,45,0
8,-15,35,62,,-4,-12,40,0
-4,5,14,109,,0,1,14,0
8,-35,42,158,,9,-36,42,0
-1,8,20,220,,-9,18,19,0
6,-34,35,297,,-6,9,12,0
1,0,28,341,,6,-32,45,62
-7,12,11,365,,-8,16,10,116
11,-41,47,374,,9,-40,49,161
-5,19,16,373,,-5,5,32,221
8,-40,38,367,,4,-17,23,300
-6,11,23,348,,-2,-10,36,349
6,-30,32,279,,0,-,,
9,-43,53,214,,3,16,368,
-8,28,4,147,,4,-22,43,376
9,-52,51,69,,-5,13,11,373
-11,27,8,0,,9,-35,33,370
0,-3,12,0,,-8,11,26,345
6,-31,48,0,,6,-21,27,274
-8,24,18,0,,-4,0,34,212
9,-40,37,0,,2,-11,24,140
-6,7,26,0,,1,-13,33,70
-7,23,7,0,,-8,17,18,0
6,-20,26,0,,12,-36,37,0
-2,-11,36,0,,-7,11,23,0
0,3,16,0,,-4,4,19,0
8,-39,40,0,,9,-28,38,0
,,,,,-5,3,22,0
,,,,,7,-26,34,0
-9,16,20,0,,10,-32,40,0
-2,16,7,0,,-6,8,17,0
3,-38,52,0,,9,-30,39,0
-9,8,28,0,,4,-8,27,0
5,-16,24,0,,0,-13,25,0
7,-40,50,0,,10,-31,40,0
-10,23,11,0,,-5,9,16,0
11,-40,41,69,,-4,-6,19,0
-10,20,18,120,,8,-19,38,0
10,-37,39,174,,-5,-3,17,0
-9,17,21,242,,4,-36,42,9
-5,9,11,314,,-1,6,22,66
7,-35,45,350,,-6,5,10,114
-10,24,13,367,,13,-39,49,165
8,-8,12,367,,-8,16,8,232
10,-41,39,369,,12,-48,48,312
10,-41,39,366,,-5,19,13,355
-13,23,21,314,,,,,
7,-40,39,240,,9,-45,42,368
-5,22,27,175,,9,-32,45,376
-4,11,16,101,,-7,16,9,372
9,-32,40,30,,12,-44,48,367
-7,4,0,0,,-8,24,8,341
4,-23,28,0,,11,-50,50,258
0,-3,31,0,,-9,28,8,198
-6,15,18,0,,10,-47,46,117
11,-38,40,0,,-7,17,19,49
-7,11,17,0,,-6,15,9,0
0,-9,26,0,,8,-46,49,0
6,-19,32,0,,-5,2,28,0
-3,8,18,0,,5,-17,27,0
6,-28,37,0,,11,-47,47,0
8,-23,35,0,,-9,20,14,0
-5,2,19,0,,8,-40,40,0
8,-26,40,0,,2,-27,40,0
1,-2,24,0,,-3,13,14,0
4,-18,34,0,,8,-24,33,0
8,-27,44,0,,-7,1,31,0
-3,4,14,0,,3,-13,20,0
-1,-19,31,29,,8,-41,46,0
6,-13,33,89,,-10,24,10,0
-1,-12,22,138,,1,0,16,0
8,-20,42,,,1,-20,45,0
,197,,,,-10,19,18,0
-3,-3,13,274,,8,-36,32,39
9,-32,46,337,,-8,11,25,102
0,3,25,361,,8,-28,33,149
3,-25,27,374,,-5,6,29,197
3,-8,34,376,,-10,24,7,277
-3,-7,16,370,,10,-47,47,339
8,-42,40,366,,-9,27,12,365
-5,15,19,320,,11,-44,45,376
7,-35,35,242,,-9,25,16,374
-5,11,25,180,,9,-37,34,369
4,-28,29,99,,-7,13,25,353
-1,-5,36,37,,7,-24,28,288
-10,27,4,0,,10,-39,47,214
11,-53,47,0,,-8,,,
-9,28,16,0,,,23,12,145
-3,9,9,0,,10,-41,41,67
7,-41,49,0,,-8,18,17,0
-7,14,23,0,,12,-38,39,0
6,-27,27,0,,5,-23,40,0
7,-48,49,0,,-3,4,18,0
-7,30,11,0,,10,-32,35,0
7,-44,42,0,,-4,3,23,0
,,,,,8,-27,35,0
-1,-24,44,0,,9,-31,39,0
0,15,8,0,,-6,8,17,0
8,-36,36,0,,2,-16,31,0
-10,14,24,0,,3,-8,27,0
6,-22,27,0,,-5,6,18,0
6,-42,50,0,,9,-30,40,0
-9,25,9,0,,5,-14,33,0
4,-9,17,50,,-3,-7,22,0
-3,-15,43,111,,7,-16,38,0
0,1,13,151,,-2,8,15,0
9,-40,39,207,,5,-33,41,3
-9,18,19,285,,10,-25,42,68
10,-36,35,344,,-6,0,12,115
-8,12,24,361,,13,-34,49,169
5,-26,29,375,,-6,12,9,236
-3,5,30,374,,11,-44,47,317
-10,23,13,368,,-6,16,14,357
11,-42,42,345,,,,,
-11,26,14,271,,-4,-7,16,370
12,-40,40,201,,10,-28,44,377
-7,22,18,130,,-6,13,12,372
8,-37,37,56,,11,-42,46,366
-6,11,23,0,,-8,22,10,325
8,-29,31,0,,11,-48,48,240
10,-36,41,0,,-9,28,9,181
-7,15,18,0,,9,-48,45,103
10,-37,39,0,,-8,19,19,33
1,-9,27,0,,-7,16,7,0
1,-14,28,0,,11,-47,52,0
9,-37,40,0,,-4,6,30,0
-2,11,18,0,,4,-19,25,0
6,-31,39,0,,0,-14,36,0
8,-21,32,0,,-9,24,14,0
-5,0,21,0,,9,-44,41,0
4,-25,36,0,,3,-30,42,0
,,,,,-5,16,13,0
,,,,,-8,24,8,0
1,0,21,0,,5,-11,15,0
-4,3,18,0,,5,-11,15,0
6,-26,41,0,,8,-43,52,0
2,-5,20,0,,-11,27,9,0
0,-21,33,13,,0,1,15,0
9,-31,44,79,,1,-22,45,0
-2,4,11,120,,-11,20,18,0
7,-34,47,175,,10,-35,33,54
-2,7,12,240,,-9,11,25,110
-1,-8,15,314,,7,-27,31,157
9,-28,45,353,,-5,7,29,210
-5,5,10,369,,-8,21,9,284
8,-36,48,374,,11,-44,46,343
-5,17,11,368,,-10,,,
9,-43,45,365,,,25,11,367
5,-22,43,334,,10,-43,44,376
-4,6,9,270,,-9,25,16,372
5,-34,52,205,,9,-38,36,368
-6,20,3,138,,-8,15,24,343
5,-36,35,61,,6,-26,30,272
-4,4,31,0,,9,-38,48,206
4,-20,20,0,,-8,25,12,134
10,-54,53,0,,10,-41,43,58
-9,32,8,0,,-9,20,16,0
1,1,12,0,,11,-40,39,0
4,-33,48,0,,5,-22,38,0
-9,22,17,0,,-2,3,20,0
8,-36,33,0,,10,-35,35,0
-5,4,30,0,,-4,5,20,0
-6,30,9,0,,6,-29,36,0
3,-9,23,0,,9,-31,39,0
-4,-17,42,0,,-4,10,16,0
2,8,9,0,,3,-17,33,0
7,-40,40,,,3,-7,27,0
,0,,,,-6,7,16,0
0,-31,51,0,,8,-31,41,0
-2,23,4,0,,-5,8,15,0
7,-26,32,0,,-1,-7,24,0
-8,2,33,0,,5,-16,36,0
5,-13,17,44,,-2,6,12,0
9,-42,46,105,,6,-33,41,10
-9,23,14,150,,10,-23,43,80
10,-39,41,214,,-4,0,13,123
-11,17,18,296,,11,-32,49,180
11,-36,36,349,,-7,8,8,246
-8,14,24,364,,10,-42,49,324
9,-26,30,376,,-5,15,13,
-6,7,31,373,,360,,,
-10,19,11,367,,-2,-8,16,373
10,-39,42,337,,8,-26,44,377
-11,24,15,258,,-7,11,11,369
12,-38,40,190,,9,-41,46,366
-9,20,18,118,,-7,22,7,331
8,-37,35,45,,11,-48,50,245
-7,12,24,0,,-9,28,8,188
9,-30,32,0,,-2,1,13,114
9,-32,41,0,,7,-32,48,49
-8,11,19,0,,-5,15,6,0
5,-25,27,0,,9,-39,33,0
2,-6,28,0,,-6,8,30,0
-5,10,19,0,,-9,27,7,0
10,-34,39,0,,11,-52,49,0
-5,11,17,0,,2,-30,44,0
-3,-7,26,0,,-8,18,19,0
,,,,,-8,18,19,0
8,-18,31,0,,-7,20,9,0
-4,-1,24,0,,7,-29,31,0
5,-26,36,0,,5,-39,48,0
0,1,21,0,,-7,25,6,0
-6,3,20,0,,4,-13,18,0
8,-26,38,0,,-5,-11,41,0
4,-4,21,0,,0,2,12,0
0,-21,35,25,,10,-40,43,0
9,-30,42,88,,-11,20,20,0
-3,2,13,126,,-4,10,10,34
8,-33,47,186,,5,-33,47,99
-2,6,11,253,,-8,17,9,136
-1,-11,19,329,,10,-38,48,194
8,-25,43,357,,-10,21,9,273
-5,4,10,374,,5,-21,23,337
8,-36,48,374,,-3,-6,,
-5,17,10,368,,,35,362,
9,-44,47,363,,0,-8,19,376
3,-16,40,321,,5,-16,39,377
-4,0,10,249,,-5,7,13,373
6,-29,51,187,,6,-31,43,366
-4,14,7,115,,-9,16,24,315
9,-44,54,42,,7,-27,30,237
-5,11,24,0,,-4,8,29,177
5,-29,26,0,,2,-19,28,103
-2,-3,38,0,,1,-7,32,39
-9,35,5,0,,-9,19,16,0
11,-57,49,0,,12,-41,40,0
2,-25,44,0,,-7,17,22,0
-1,11,8,0,,-4,0,20,0
8,-45,38,0,,8,-27,36,0
-5,13,25,0,,-4,7,20,0
3,-19,26,0,,6,-31,37,0
,,,,,10,-30,38,0
6,-48,49,0,,-5,9,18,0
-8,30,9,0,,2,-19,33,0
1,0,15,0,,4,-6,25,0
-1,-25,48,0,,0,-12,30,0
-9,25,15,0,,9,-30,41,0
7,-33,38,0,,-4,8,14,0
3,-38,53,0,,-2,-8,26,0
-7,24,5,32,,6,-16,33,0
8,-44,51,99,,-1,5,12,0
-6,-7,38,136,,5,-31,43,29
4,-7,18,192,,0,1,17,84
-1,-16,42,269,,-3,-2,13,126
0,0,14,328,,10,-32,48,188
2,-25,44,358,,-5,8,8,255
-8,15,20,373,,2,-26,29,327
9,-29,33,376,,6,-11,3,
-8,10,27,368,,4,361,,
7,-22,24,363,,-2,-9,17,374
-5,0,33,318,,7,-24,44,377
4,-12,22,241,,-6,10,10,372
11,-37,44,174,,9,-41,48,367
-9,21,16,100,,-7,24,5,329
10,-38,36,22,,1,-17,21,248
-8,13,22,0,,0,-11,40,185
10,-33,34,0,,0,-3,14,111
-5,8,27,0,,5,-30,48,43
-6,6,19,0,,-4,14,5,0
8,-29,29,0,,9,-44,36,0
-1,-2,26,0,,-7,13,27,0
3,-20,31,0,,-8,29,4,0
9,-32,38,0,,11,-55,52,0
-4,9,20,0,,0,-8,36,0
-2,-11,28,0,,1,-3,17,0
7,-15,30,0,,8,-51,44,0
-3,-3,26,0,,-7,23,17,0
6,-2,,,,-3,18,9,0
5,36,0,,,4,-41,51,0
-2,1,22,0,,-6,27,5,0
-4,1,21,0,,4,-16,20,0
8,-25,36,0,,-6,-10,40,0
