x DESN 1 ,y DESN 1,z DESN 1,i DESN 1,x DESN 2,y DESN 2,z DESN 2,i DESN 2,xDESN 3,y DESN 3,z DESN 3,i DESN 3
-2,-49,62,269,-11,51,-23,57,1,-32,61,309
-6,30,-1,190,1,-68,68,111,-5,19,-14,363
-4,-43,58,121,-8,39,-3,160,2,-53,76,375
-5,24,6,44,-2,-50,54,233,-4,32,6,380
-7,-40,48,0,-8,21,11,306,,,,
-2,15,12,0,-4,-39,35,357,,,,
-8,12,3,0,-2,7,28,373,-6,-41,40,376
0,,,,-9,33,-11,380,-2,8,27,373
,-33,60,0,0,-51,65,375,-7,-20,18,337
-1,11,19,0,-9,32,-7,369,0,-10,46,262
-10,-31,35,0,0,-53,59,340,-8,1,4,194
1,2,26,0,-7,33,0,266,-4,-58,69,123
-3,23,-7,0,-5,-48,57,196,-6,37,-3,43
-5,-49,63,0,-4,28,6,125,-5,-51,54,0
0,-6,38,0,-9,11,,,-5,25,11,0
-10,-7,10,0,2,57,,,-10,25,-11,0
-7,-55,60,0,-9,-34,41,0,1,-49,72,0
0,31,-2,0,-1,-42,64,0,-7,33,-16,0
-7,-49,57,0,-1,-42,64,0,-8,-28,27,0
-2,-40,68,0,-1,10,25,0,0,-3,39,0
-5,30,-16,0,-8,-25,29,0,-11,-10,9,0
-2,-57,75,0,-3,-49,60,0,-4,-61,65,0
0,8,26,48,-3,27,-4,0,-3,40,-4,0
-6,-22,23,103,-7,-49,61,0,-8,-55,55,0
0,-12,46,153,1,-14,38,0,1,-42,65,0
-6,1,2,221,-8,0,11,0,-9,31,-15,0
-4,-65,66,297,-7,-46,55,0,0,-57,74,0
-1,33,-4,355,0,22,4,0,1,11,27,0
-6,-52,50,369,-9,-39,50,0,-11,-19,24,0
0,16,16,375,-2,-35,57,0,1,-11,43,18
-6,-29,26,373,-3,19,-3,0,-5,40,-12,90
-1,-8,37,369,-8,-31,42,0,-5,-60,65,135
-4,-8,6,350,0,6,20,0,-2,33,0,197
-2,-67,73,276,-4,22,-6,51,-8,-48,52,277
-5,43,-13,190,-5,-47,65,108,0,17,10,331
-2,-59,59,120,-2,24,-8,162,-5,23,-9,364
-4,28,7,43,-4,-46,63,236,-1,-51,66,378
-2,-42,41,0,-2,24,-6,309,-4,29,-10,375
-5,9,21,0,-5,-50,59,360,-3,-49,64,373
-6,35,-17,0,-2,23,0,373,-2,26,-,
,,,,-3,-45,46,376,11,353,,
,,,,-1,-44,68,368,-4,-51,64,283
2,-56,67,0,-3,30,-18,368,-1,28,-7,209
0,-8,35,0,-1,-64,75,322,-6,-45,61,141
-3,-8,14,0,-4,46,-24,,0,21,0,68
0,-55,62,0,235,,,,-4,-42,54,0
-3,25,-3,0,0,-67,76,172,-1,-31,54,0
-2,-46,48,0,-5,48,-16,81,-3,8,-2,0
3,-35,57,0,-1,-66,66,15,-4,-37,49,0
-7,22,-5,0,-7,38,-4,0,-2,14,12,0
2,-50,63,0,-1,-56,48,0,-3,-37,35,0
-3,5,25,0,2,-63,86,0,-2,-46,65,0
-6,-19,21,0,-4,49,-31,0,0,24,-12,0
1,-55,66,0,2,-80,84,0,-3,-55,63,0
-7,37,-7,0,-4,-8,45,0,0,-9,42,0
-8,1,12,0,-4,-4,-6,0,-4,0,1,0
1,-29,54,40,0,-83,70,0,-2,-59,54,0
-9,16,-6,103,-7,52,-6,0,-1,30,6,0
-5,-47,51,149,-3,-61,48,0,-5,28,-15,0
-4,20,15,219,3,-73,83,0,0,-59,76,0
-4,-33,36,297,-8,58,-35,0,-5,48,-24,0
-5,3,27,350,3,-82,86,0,-6,-20,21,0
-7,-21,20,370,-1,-15,51,0,0,-15,47,49
0,-11,41,380,-7,13,-5,0,-6,3,-4,103
-9,0,9,376,0,-71,72,0,0,-39,68,148
-3,-51,61,373,-8,40,-4,40,-6,45,-7,219
-8,27,0,354,0,-51,48,102,-2,-57,54,293
-4,-43,49,285,-7,18,22,145,-6,23,14,350
-4,19,13,207,-9,46,-24,214,-5,-36,29,369
-7,-31,42,135,3,-64,77,291,-1,0,36,378
-4,9,22,65,-10,42,-17,354,-,,,
-8,-24,,,0,-61,68,370,6,-7,8,376
31,0,,,-9,36,-5,379,1,-26,57,373
0,-43,60,0,-2,-51,56,376,-7,44,-13,352
-8,23,1,0,-7,27,5,370,-4,-57,61,281
-10,-14,24,0,-4,-44,45,344,-5,31,2,206
-1,-9,37,0,0,8,26,127,-5,-41,45,135
-8,-10,14,0,-5,30,-12,103,-3,16,24,61
-4,-47,55,0,-5,30,-12,77,-8,-29,27,0
-1,23,2,0,-9,-23,28,50,-2,0,37,0
-9,-43,53,0,1,-53,57,0,-8,38,-12,0
0,-28,54,0,-9,25,-3,0,0,-56,68,0
-6,13,-4,0,,,,,0,-16,53,0
-1,-44,65,0,-10,-13,22,0,-10,3,0,0
0,15,18,0,2,-12,42,0,-7,-56,56,0
-8,-29,32,0,-12,-6,11,0,-2,30,5,0
-4,-53,74,0,-6,-46,56,0,-9,18,-9,0
-1,39,-17,0,-1,23,6,0,2,-46,70,0
-4,-62,73,0,-10,-43,48,0,-10,34,-15,0
0,-40,67,124,0,-33,53,0,0,-59,69,0
0,-40,67,137,-6,17,0,0,1,-1,37,0
-1,32,1,158,-10,-32,41,0,-10,-8,13,0
-5,28,-17,241,1,7,19,0,-4,-60,70,0
0,-62,76,309,-9,-24,32,0,-4,41,-7,0
-3,42,-24,365,-5,-45,63,0,-7,-55,57,0
-1,-73,78,374,0,28,-6,0,3,-40,64,45
-3,49,-21,375,-7,-11,22,0,-8,26,-9,102
-3,-67,69,375,0,-14,40,0,1,-53,71,150
-3,39,-8,369,-5,-3,10,63,-7,35,-15,225
-4,-56,53,314,-1,-28,50,113,-2,-59,68,302
-3,24,11,240,0,22,1,161,-4,34,-12,356
-4,43,-26,158,-6,-41,51,236,-5,-56,65,368
1,-66,83,89,-2,14,8,305,-1,29,-6,3
-6,46,-23,7,-5,-36,39,360,77,,,
1,-68,72,0,0,2,24,369,-7,-48,55,373
0,-24,48,0,0,29,-16,377,2,-33,54,369
-4,9,,,-5,-55,69,375,-5,12,-4,332
0,0,,,-3,36,-14,370,0,-39,62,260
-1,-53,59,0,-2,-63,63,340,-3,22,-9,185
-5,23,4,0,-3,36,-4,258,-2,-44,62,117
-3,-42,44,0,-2,-52,55,187,-2,22,-6,37
0,-49,62,0,-4,26,10,110,-4,-45,64,0
-6,25,-11,0,-2,-41,37,33,0,-6,28,0
2,-49,64,0,-4,7,28,0,-4,-17,24,0
-1,-6,36,0,-4,44,-2,,-5,-42,62,0
-7,-8,10,0,9,0,,,1,20,-6,0
0,-53,56,0,1,-71,81,0,-4,-48,58,0
-6,29,-2,0,-3,-10,51,0,-2,-21,49,0
-8,9,0,0,-4,-2,-6,0,-2,1,-3,0
1,-34,60,0,0,-40,68,0,0,-36,60,0
-5,24,12,0,-5,44,-6,0,0,20,16,0
-4,-37,41,0,-3,-63,46,0,-5,-36,29,0
-3,9,19,64,-4,25,21,0,-2,-58,65,0
-9,31,-13,116,-7,57,-29,0,-3,40,-16,0
2,-54,69,164,3,-84,81,0,-3,-63,66,0
-9,36,-11,244,-7,62,-25,0,0,-24,56,0
0,-56,64,314,-6,10,-8,0,-5,17,-7,0
-6,32,-5,363,2,-47,73,0,2,-50,72,8
-4,-52,55,375,-6,48,-5,0,-4,30,4,78
-5,26,7,379,-3,-53,51,0,-5,-44,40,123
-9,22,-8,374,-6,18,20,18,-2,11,29,181
0,-46,65,370,-8,53,-31,94,-5,-20,17,262
-8,29,-10,328,1,-74,83,132,-3,-17,50,330
0,-48,66,256,-9,52,-22,199,-5,5,-5,366
-7,31,-7,180,2,-65,71,273,-3,-71,68,377
-2,-46,61,109,-10,39,-7,344,-4,42,-5,379
-7,26,0,31,-4,-55,53,368,-5,-51,52,376
,,,,-7,24,9,378,-4,20,14,
-9,-3,13,0,-4,-36,37,378,,366,,
1,-23,48,0,-3,10,27,373,-6,-30,28,303
-9,5,8,0,-10,33,-13,355,-2,0,37,235
-5,-37,50,0,-2,-3,37,283,-6,-8,15,160
-3,14,10,0,-8,35,-10,202,-1,-17,53,90
-8,9,2,0,-1,-50,64,128,-7,40,-11,5
-1,-36,57,0,-8,3,,,-3,-55,59,0
0,10,16,0,2,-1,52,,-5,30,5,0
-10,-30,36,0,-5,-48,55,0,-8,20,-8,0
1,5,25,0,-4,24,5,0,0,-44,70,0
-5,25,-9,0,-10,8,5,0,-5,18,18,0
-9,-21,24,0,2,-32,57,0,-7,-36,32,0
0,-8,40,0,-2,19,15,0,0,3,32,0
-8,-7,10,0,-9,-35,39,0,-7,37,-15,0
-7,-55,58,0,1,7,20,0,-3,-58,70,0
4,-40,78,0,-5,20,-3,0,-7,40,-8,0
-3,26,3,14,-2,-45,61,0,-10,1,1,0
-3,26,3,42,3,1,29,0,3,-33,62,0
-9,28,-21,97,-12,-14,23,0,-4,34,4,0
-1,-57,83,140,-6,-49,59,0,-7,-47,49,0
-1,47,-22,219,-1,27,-4,0,0,-48,73,0
1,-71,80,291,-7,-45,60,0,-9,37,-17,0
0,-16,48,352,0,-24,52,0,0,-60,74,3
-5,2,-15,369,-6,11,2,0,1,2,34,65
2,-45,66,377,-1,-36,57,0,-9,-13,17,112
-5,34,-20,373,0,16,10,26,1,-17,48,169
1,-66,80,369,-7,-35,43,93,-9,5,2,234
-5,47,-32,348,0,6,23,128,-5,-56,59,309
1,-73,82,276,-3,28,-9,194,-2,26,,
-4,52,-24,196,-4,-51,64,271,,4,354,
-2,-69,73,120,0,27,-10,339,-8,-44,48,367
-6,40,-7,41,-6,-54,64,366,1,12,15,381
-5,21,-17,0,0,27,-7,376,-6,27,-11,372
4,-56,71,0,-6,-49,53,374,0,-52,65,372
-5,37,-1,,-1,22,7,367,-3,27,-10,336
5,0,,,-2,24,-16,363,-4,-51,66,259
-4,-31,33,0,-2,-56,75,297,-3,29,-9,185
-2,-4,31,0,-2,39,-23,212,-6,-48,61,115
-4,-12,14,0,-3,-62,78,144,0,24,0,44
0,-58,60,0,-3,43,,,-6,-42,54,0
-5,27,-2,0,,-19,53,,0,-31,49,0
-1,-44,51,0,-1,-64,71,0,-4,7,3,0
2,-35,58,0,-4,38,-13,0,-6,-34,48,0
-8,19,-7,0,-2,-59,61,0,1,9,11,0
-2,-36,35,0,0,-39,72,0,-3,7,-4,0
-3,6,24,0,-3,25,-21,0,-3,-39,59,0
-6,-20,26,0,1,-60,77,0,0,3,22,0
1,-49,65,0,-4,15,24,0,-6,-25,23,0
-9,32,-6,0,-5,-29,17,0,-3,-45,59,0
-8,-9,16,4,0,-73,73,0,-1,28,-1,0
1,-21,45,78,-6,54,-15,0,-3,-55,52,0
-8,4,7,116,-2,-71,63,0,1,-29,55,0
-3,-47,56,168,-5,39,1,0,-4,18,-11,0
-6,25,5,238,-8,39,-24,0,1,-49,71,0
-3,-42,45,313,3,-70,82,0,-1,20,19,0
-4,14,17,363,-3,13,26,0,-7,-32,29,0
-8,-31,34,375,-7,-16,19,0,0,-3,35,43
-2,3,28,380,0,-20,52,3,-4,46,-24,109
-6,-16,20,373,-9,52,-21,80,-3,-70,74,158
1,-14,42,369,-2,-67,66,126,-4,48,-12,240
-7,32,-4,328,-7,39,0,181,-4,-64,62,309
-5,-47,58,250,-2,-48,47,258,-4,33,2,357
-4,26,4,180,-8,16,19,322,-6,-48,40,374
-6,-39,50,108,-5,-29,26,365,-1,13,25,
-4,16,16,27,-2,-4,39,375,,379,,
-7,-30,38,0,-9,45,-17,379,-7,-20,20,374
-1,-41,59,0,0,-60,68,373,0,-16,46,369
-7,2,,,-9,36,-7,364,-8,5,-3,337
1,-1,0,,-2,-52,57,307,-3,-62,68,261
-1,-41,60,0,-6,29,5,232,-5,39,-3,182
-2,-3,30,0,-5,-41,49,163,-7,-48,53,111
-8,-16,24,0,-4,18,16,,-4,22,15,34
0,-12,38,0,87,,,,-6,-34,33,0
-2,22,-3,0,-10,23,-6,14,-3,5,33,0
-5,-44,59,0,0,-44,61,0,-9,40,-16,0
-4,25,0,0,-8,24,-2,0,-2,-58,71,0
-8,2,2,0,-9,-22,30,0,-1,-14,48,0
-6,-46,54,0,-1,-2,34,0,-8,0,4,0
-1,22,6,0,-9,-15,19,0,1,-31,60,0
-6,-40,48,0,1,-14,40,0,-4,33,-1,0
-2,-44,72,0,-2,23,1,0,-7,-48,50,0
-5,31,-19,0,-8,-44,55,0,2,-43,69,0
-2,-58,77,10,1,-22,47,0,-9,31,-15,0
-3,39,-21,89,-8,6,5,0,0,-57,72,0
-5,-18,15,128,-8,-41,48,0,-1,7,32,0
0,-16,54,198,1,17,10,0,-9,-16,18,0
-5,7,-8,273,-6,17,-2,0,-3,-62,72,0
0,-47,71,334,-3,-41,64,0,-5,43,-10,0
-3,33,-24,373,-3,26,-7,0,-6,-60,63,10
1,-70,82,377,-9,-24,31,0,-3,34,0,80
-5,55,-29,374,0,-4,32,5,-8,19,-8,117
1,-80,81,375,-3,29,-8,76,2,-48,71,180
0,-20,50,365,-6,-54,64,120,-7,32,-15,260
-5,8,-10,298,-2,30,-4,183,-1,-59,70,329
1,-45,74,226,-6,-50,56,261,-4,34,-14,367
-5,36,-26,144,0,21,3,320,-4,-59,67,378
3,-66,85,75,-6,-42,46,366,,,,
-6,49,-30,0,0,10,15,374,-3,34,-9,374
-4,-29,24,0,-2,29,-16,378,-5,-52,60,373
-2,-11,41,0,-3,-56,71,372,-2,25,-1,358
,,,,-3,36,-17,366,-7,-45,52,289
-5,0,4,0,-3,-62,69,312,0,18,8,231
1,-66,66,0,-4,38,-11,225,-4,20,-7,156
-6,33,-4,0,-3,-55,62,153,-2,-43,61,87
-5,22,-8,0,-2,29,,,-5,22,-5,10
3,-54,65,0,1,77,,,-2,-47,59,0
-8,32,-15,0,-3,-46,48,6,2,-7,28,0
-4,-25,28,0,-1,-52,73,0,-6,-13,24,0
-2,-6,36,0,-3,30,-21,0,0,-15,35,0
-5,-8,10,0,0,-55,75,0,-1,15,-2,0
2,-56,61,0,-3,3,32,0,-4,-41,52,0
-8,32,-4,0,-3,-20,14,0,0,-22,44,0
-7,8,2,0,-2,-17,47,0,-4,0,4,0
2,-32,59,0,-3,39,-13,0,-6,-37,44,0
-6,24,8,0,-1,-63,57,0,0,13,17,0
-2,-40,44,15,-4,35,6,0,-5,-33,29,0
-5,14,15,88,-6,31,-16,0,0,-47,59,0
-9,25,-8,128,2,-64,74,0,-3,30,-9,0
3,-48,66,186,-6,48,-24,0,-6,-16,17,0
-8,30,-8,265,-6,-18,16,0,0,-15,46,0
0,-54,63,329,1,-18,53,0,-5,3,2,0
-7,31,-8,368,-8,15,-5,0,-2,-59,61,12
-2,-52,60,378,-2,-66,66,0,-2,33,-2,89
-5,32,1,378,-7,36,0,52,-6,-51,50,130
-8,11,2,373,-8,35,-24,113,-3,23,15,194
0,-38,58,368,3,-64,82,157,-6,40,-22,278
-9,22,-6,319,-9,49,-25,235,1,-67,78,337
0,-44,65,247,1,-70,79,306,-4,48,-23,370
-1,9,23,176,-8,46,-20,363,-4,-70,71,379
-9,-20,30,104,0,-66,67,375,,,,
-2,-4,33,,-8,39,-3,379,-5,47,-13,378
22,,,,-3,-50,52,377,-4,-60,60,374
-8,-10,18,0,-6,23,11,369,-4,30,3,357
0,-16,43,0,-5,-36,36,329,-6,-41,42,282
-6,24,4,0,-3,9,28,258,-3,11,23,209
-5,-39,52,0,-9,35,-10,180,-6,-20,24,128
-1,-24,46,0,-1,-50,65,10,-1,-8,45,64
-7,4,7,0,5,,,,-8,40,-13,0
-7,-38,48,0,-8,31,-6,29,-3,-57,63,0
-1,13,11,0,-2,-48,58,0,-7,34,0,0
-8,-32,42,0,-7,25,4,0,-8,14,-5,0
-2,-35,57,0,-11,1,11,0,1,-40,69,0
-6,17,-6,0,2,-25,49,0,-8,26,-12,0
-3,-44,63,0,-3,19,8,0,-8,-39,36,0
0,3,28,0,-7,-40,46,0,-1,8,27,0
-7,-19,24,0,-1,14,15,0,-7,34,-15,0
-1,-6,40,0,-8,13,1,0,0,-56,70,0
-2,35,-16,0,-1,-39,56,0,-8,39,-10,0
-4,-58,68,9,1,8,20,0,-11,-4,5,0
-1,35,-8,78,-10,-25,32,0,0,-27,57,0
-6,9,-8,117,-4,-46,62,0,-8,16,-8,0
0,-43,73,174,-4,27,-7,0,-6,-51,54,0
-3,31,-24,261,-6,-48,65,0,-2,28,12,0
0,-67,80,325,0,-13,42,0,-10,-39,39,0
-3,48,-27,367,-7,-1,9,0,0,-56,73,61
-1,-78,80,374,0,-26,54,0,-7,39,-18,113
-5,55,-20,373,-1,27,0,51,-1,-62,74,172
-2,-71,64,374,-8,-48,51,106,-6,40,-13,254
-4,38,0,366,0,20,12,156,-5,-62,64,325
-4,-51,42,298,-2,25,-9,229,-2,32,-3,366
2,-72,88,226,-3,-55,69,305,-7,-52,54,374
-5,58,-36,142,-1,34,-15,363,0,,,
2,-80,86,77,-5,-63,69,374,,22,8,379
-7,56,-24,0,0,37,-13,378,-8,28,-12,369
0,-75,67,0,-5,-56,62,375,0,-53,68,369
1,-47,70,0,-2,31,0,370,-3,30,-16,318
-4,35,-19,0,-5,-50,47,331,-2,-53,70,242
-2,-51,46,0,-2,18,15,254,-2,34,-12,161
-5,12,,,-3,-30,33,174,-5,-54,63,90
,20,0,,-3,0,32,11,-1,28,-3,14
-4,-24,23,0,2,,,,-5,-48,57,0
2,-72,70,0,-4,41,-20,28,1,-32,50,0
-7,43,-15,0,-1,-62,71,0,-4,12,2,0
1,-58,61,0,-3,34,-13,0,-1,-38,56,0
2,-38,61,0,-2,-52,63,0,0,7,12,0
-7,23,-11,0,-1,-31,59,0,-5,-29,37,0
3,-51,67,0,-4,12,-9,0,-4,-42,57,0
-5,15,16,0,-4,-35,31,0,0,16,-6,0
-4,-27,33,0,-4,-35,31,0,-6,-17,22,0
-3,1,32,0,2,-55,72,0,0,-11,39,0
-10,34,-8,0,-2,3,35,0,-4,-6,5,0
2,-52,63,51,-6,40,-12,0,-3,-50,52,0
-2,-13,40,113,1,-65,62,0,-1,26,3,0
-6,-4,12,158,-6,41,-6,0,-4,15,-8,0
1,-21,51,233,-7,17,-8,0,0,-43,68,0
-8,7,3,297,2,-48,71,0,-4,32,-15,0
0,-34,55,350,-5,29,10,0,-4,-36,33,14
-8,15,-4,372,-5,-37,37,0,-2,4,28,85
-5,-40,43,381,3,-67,79,30,-5,-18,19,130
-3,15,19,375,-8,50,-24,103,0,-14,48,188
-9,-28,31,373,0,-69,77,142,-5,1,0,259
-2,0,30,348,-9,47,-14,218,-2,-65,66,325
-7,-13,21,269,0,-61,63,290,-5,38,-4,367
0,-13,45,198,-8,32,1,344,-6,-55,51,376
-8,3,10,128,-4,-48,45,369,,,,
-1,-27,51,57,-5,16,20,379,-3,24,14,379
,,,,-9,41,-21,376,-6,-32,32,374
-5,23,4,0,1,-61,73,373,-3,-2,35,366
-5,-39,48,0,-9,40,-15,349,-7,-7,8,315
-3,14,17,0,-1,-56,66,273,-2,-64,73,237
-8,19,0,0,-7,35,-4,196,-5,43,-11,153
-2,-40,57,0,-4,-48,56,123,-5,-54,62,82
-2,2,20,0,-6,24,9,51,-6,29,6,12
-7,-24,32,0,-6,-38,43,0,-5,-41,40,0
-2,-43,60,0,1,-38,,,0,-54,74,0
-5,22,-4,0,59,0,,,-8,37,-17,0
-5,-42,59,0,-9,19,0,0,0,-57,74,0
0,-11,35,0,-7,-28,35,0,-3,-6,41,0
-7,-8,13,0,-2,4,27,0,-8,-8,8,0
0,-18,50,0,-10,-22,28,0,-2,-60,66,0
-4,25,-2,0,-2,-43,56,0,-6,36,-5,0
-7,-45,58,0,-5,20,0,0,-6,-51,56,0
0,25,2,0,-5,-42,56,0,2,-37,66,0
-5,15,-8,0,2,-11,40,0,-10,24,-13,0
-6,-45,51,32,-10,-4,14,0,1,-50,72,0
-3,19,16,98,1,-24,47,0,-2,14,25,0
-7,-37,34,141,-1,22,3,0,-8,-24,26,0
-1,6,31,205,-8,-40,52,0,0,-2,40,0
-6,-20,14,291,0,-32,59,0,-8,41,-14,0
-2,-20,55,350,-5,17,-4,0,-3,-61,68,39
-4,8,-12,374,-3,-44,65,0,-5,38,-5,102
2,-51,74,378,1,11,21,49,-6,-55,60,148
-3,38,5,373,-7,-30,30,106,-3,29,5,217
-5,-47,38,375,0,-2,36,153,-8,23,-13,296
-2,7,31,362,-7,-11,13,233,2,-54,69,348
-5,-17,8,289,-6,-62,66,307,-7,33,-14,368
1,-23,59,219,0,35,-8,360,-2,-59,,
-5,17,-14,133,-7,-58,57,370,,70,381,
3,-52,80,67,0,25,5,379,-4,37,-13,373
-7,42,-1,0,-8,-40,39,374,-3,-58,65,369
-3,-55,42,0,-1,7,24,369,-2,32,-6,332
-3,14,28,,-1,40,-25,349,-7,-51,58,257
,0,,,0,-14,46,276,0,25,3,198
-6,58,-28,0,-3,47,-19,192,-8,-42,47,118
3,-79,78,0,-5,-63,68,12,2,14,16,53
-1,-22,51,0,0,,,,-5,24,-9,0
-4,11,-7,0,-2,36,-6,37,-1,-52,63,0
4,-52,66,0,-3,-51,53,0,2,-2,26,0
-5,32,4,0,-2,4,25,0,-7,-15,23,0
-3,-41,40,0,-3,29,-16,0,2,-16,36,0
4,-64,77,0,-3,29,-16,0,0,22,-4,0
-8,44,-23,0,-2,-18,25,0,-6,-46,54,0
2,-65,73,0,-2,-18,25,0,0,-30,45,0
-1,-16,45,0,-2,-12,41,0,-6,8,1,0
-6,5,4,0,-8,-8,2,0,-6,-36,43,0
1,-55,65,0,0,-53,59,0,1,9,17,0
-8,31,1,0,-7,27,0,0,-5,19,-8,0
-9,14,-4,31,-4,16,-6,0,-2,-49,63,0
3,-41,61,99,-7,-53,62,0,-2,32,-13,0
-9,22,-6,137,-8,37,-18,0,-6,-16,17,0
2,-44,64,199,-5,-29,27,0,0,-13,46,0
-8,25,-8,278,-1,-2,38,0,-6,0,4,0
-5,-28,30,341,-6,-5,10,0,-3,-59,61,33
0,-10,40,382,0,-67,70,9,-3,33,-4,101
0,-10,40,380,-8,43,-11,87,-5,-53,54,149
-6,33,-3,377,-3,-59,58,128,-3,26,10,221
-9,-3,12,374,-6,30,9,183,-4,32,-18,302
1,-26,49,360,-8,38,-19,267,-1,-62,76,354
-10,13,1,293,2,-65,79,329,-3,43,-23,374
-1,-36,60,219,-8,46,-23,368,-2,-,,
-7,23,-4,144,0,-69,76,378,69,76,380,
-8,-32,40,72,-7,47,-16,379,-5,49,-16,375
-3,7,25,0,-1,-62,66,374,-5,-64,67,370
-9,-21,29,0,-8,35,-3,361,-4,37,-5,329
-2,-48,63,,-4,-48,51,295,-5,-48,51,252
,0,,,-5,21,14,218,-4,21,16,174
-5,28,-1,0,-7,-31,38,146,-7,-30,32,98
-4,-45,58,0,-4,,,,-2,0,36,37
-2,-17,41,0,,7,29,76,-6,-10,10,0
-7,-3,12,0,-11,31,-9,0,-1,-63,72,0
0,-26,47,0,0,-50,62,0,-7,41,-8,0
-1,18,4,0,0,-10,40,0,-5,-56,60,0
-7,-36,50,0,-8,-6,17,0,-1,-39,67,0
0,-31,55,0,-1,-18,46,0,-7,24,-16,0
-6,12,-3,0,-7,21,4,0,1,-54,75,0
-2,-37,61,0,-5,-43,49,0,-3,15,20,0
-2,11,17,0,-2,15,10,0,-8,-27,28,0
-5,-28,39,0,-9,6,7,0,-1,-1,39,0
-2,7,25,0,-7,-34,44,0,-8,41,-16,0
-4,28,-14,0,-1,13,14,0,-2,-61,69,0
-3,-52,72,42,-9,-31,37,0,-8,41,-8,0
-2,32,-16,106,1,7,20,0,-9,9,-4,0
-3,-59,72,158,-6,18,-3,0,2,-37,65,0
-4,37,-10,241,-9,-24,34,0,-4,33,3,0
-4,-61,57,317,0,2,29,0,-8,-47,48,16
-3,29,7,357,-1,26,-8,0,-9,-32,33,135
-3,32,-24,373,-5,-50,64,0,1,-59,75,152
1,-69,81,378,-1,30,-8,69,0,1,32,189
-5,55,-28,373,-8,-7,11,114,-6,40,-17,271
0,-80,76,369,0,-25,56,171,-2,-63,70,338
-5,52,-18,324,-5,11,-6,247,-4,38,-8,368
-2,-69,64,244,0,-47,65,315,-6,-58,61,
-5,39,4,177,-2,30,-14,367,,376,,
-4,-49,38,96,-4,-63,73,375,0,30,0,378
-3,10,,,-2,43,-20,378,-8,19,-9,370
32,26,,,-4,-65,72,375,2,-48,69,367
-6,60,-37,0,0,40,-13,367,-7,28,-15,303
3,-85,83,0,-6,-60,61,307,-1,-52,71,230
-7,61,-20,0,-2,31,1,236,-3,33,-16,148
-6,16,-13,0,-4,32,-20,157,-3,-55,68,77
4,-56,75,0,0,-58,76,88,-4,32,-9,0
-6,44,-25,0,-4,40,-20,6,-8,-7,9,0
-3,-50,37,0,-2,-63,72,,3,-28,49,0
-2,5,31,0,0,,,,0,27,1,0
-8,57,-24,0,-2,-12,38,0,-6,-44,51,0
2,-74,76,0,-3,-3,10,0,0,13,9,0
-7,47,-16,0,0,-27,51,0,-5,19,-5,0
-6,16,-11,0,-3,25,-1,0,-7,-34,37,0
2,-48,71,0,-3,-46,51,0,5,-2,22,0
-8,35,-18,0,-1,15,10,0,-8,-16,24,0
3,-56,75,0,-4,17,-11,0,-4,-46,63,0
